thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
377.0,239.0,280.0,285.0,253.0,16604.0,-264.0,3740.0,-241.0,-248.0,-23.0,-13208.0,1620.0,7716.0,-77.0,184.0,-218.0,1.0,A
377.0,239.0,280.0,286.0,253.0,16200.0,32.0,4568.0,54.0,-70.0,290.0,-13360.0,1860.0,7488.0,-3.0,-28.0,-115.0,1.0,A
376.0,238.0,281.0,285.0,254.0,16392.0,-144.0,4124.0,63.0,163.0,41.0,-13552.0,1900.0,7480.0,-127.0,440.0,136.0,1.0,A
377.0,239.0,280.0,285.0,253.0,16260.0,56.0,4496.0,-301.0,333.0,-40.0,-13796.0,2236.0,7572.0,-152.0,328.0,-236.0,1.0,A
376.0,239.0,280.0,286.0,253.0,16420.0,-192.0,3932.0,-310.0,-354.0,-152.0,-13292.0,2176.0,7632.0,149.0,-215.0,-341.0,1.0,A
377.0,239.0,281.0,286.0,254.0,16252.0,-20.0,4316.0,-376.0,-157.0,-80.0,-13488.0,1864.0,7904.0,-325.0,198.0,26.0,1.0,A
377.0,239.0,281.0,285.0,254.0,16144.0,56.0,4316.0,-458.0,-112.0,86.0,-13172.0,1984.0,7848.0,56.0,20.0,-52.0,1.0,A
377.0,239.0,281.0,286.0,254.0,16788.0,-416.0,3400.0,-227.0,59.0,197.0,-13548.0,1940.0,7528.0,-62.0,-107.0,-162.0,1.0,A
377.0,239.0,281.0,286.0,254.0,16500.0,-64.0,3928.0,-425.0,49.0,-118.0,-13140.0,2016.0,7692.0,-246.0,92.0,-96.0,1.0,A
377.0,240.0,281.0,286.0,254.0,16344.0,76.0,4112.0,-127.0,9.0,322.0,-13352.0,1752.0,7460.0,238.0,193.0,-133.0,1.0,A
377.0,240.0,281.0,286.0,254.0,16584.0,-204.0,4044.0,-362.0,235.0,-171.0,-13552.0,2132.0,7644.0,-360.0,13.0,166.0,1.0,A
377.0,240.0,281.0,286.0,254.0,16520.0,-472.0,4092.0,-112.0,-103.0,-115.0,-13380.0,1860.0,7624.0,-91.0,-114.0,-48.0,1.0,A
376.0,240.0,281.0,286.0,254.0,16488.0,-172.0,4100.0,-456.0,-188.0,-255.0,-13228.0,1904.0,7884.0,-222.0,-40.0,-95.0,1.0,A
377.0,240.0,281.0,286.0,255.0,16488.0,-240.0,4048.0,-289.0,-143.0,-78.0,-13216.0,1880.0,7824.0,-161.0,59.0,-91.0,1.0,A
376.0,240.0,281.0,286.0,255.0,16368.0,280.0,3832.0,-402.0,46.0,21.0,-13692.0,1972.0,7652.0,172.0,213.0,-33.0,1.0,A
377.0,240.0,281.0,286.0,255.0,16424.0,336.0,3820.0,-515.0,-18.0,-95.0,-13424.0,2092.0,7808.0,-448.0,88.0,127.0,1.0,A
377.0,240.0,281.0,286.0,255.0,16680.0,-748.0,4016.0,-122.0,-432.0,-18.0,-13500.0,1880.0,7416.0,-23.0,-359.0,-506.0,1.0,A
377.0,240.0,282.0,286.0,255.0,16388.0,-260.0,3688.0,-978.0,-412.0,-431.0,-13420.0,1744.0,7968.0,656.0,-68.0,-271.0,1.0,A
377.0,240.0,282.0,286.0,256.0,16608.0,-236.0,3964.0,-513.0,-287.0,-243.0,-12676.0,1940.0,8076.0,424.0,184.0,-280.0,1.0,A
